"id" "rt" "err" "stim" "type" "img" "word" "order"
"234" "6101" 6.53958595561767 0 "SPELL" "word" "low" NA 1.63423273680767
"235" "6101" 6.32435896238131 0 "NOIZE" "pseudohomophone" NA "less" 1.64844345625817
"236" "6101" 6.78671695060508 0 "MOLE" "word" "high" NA 1.66265417570867
"237" "6101" 6.43615036836943 0 "ELITE" "word" NA NA 1.67686489515917
"238" "6101" NA 1 "FET" "nonword" NA "more" 1.69107561460967
"239" "6101" 7.37148929521428 0 "ACUTE" "word" NA NA 1.70528633406018
"240" "6101" 6.93439720992856 0 "WHIM" "word" "low" NA 1.71949705351068
"241" "6102" 6.6631326959908 0 "SWAIT" "nonword" NA "more" -1.71949705351068
"242" "6102" 6.3919171133926 0 "SNACK" "word" "high" NA -1.70528633406018
"243" "6102" 6.56103066589657 0 "MOOR" "word" "low" NA -1.69107561460967
"244" "6102" 6.23244801655052 0 "JAW" "word" NA NA -1.67686489515917
"245" "6102" 6.61873898351722 0 "TURGE" "nonword" NA "more" -1.66265417570867
"246" "6102" 6.75809450442773 0 "DEEF" "nonword" NA "more" -1.64844345625817
"247" "6102" 6.42324696353352 0 "GRIM" "word" "low" NA -1.63423273680767
"248" "6102" 6.26339826259162 0 "GOAT" "word" NA NA -1.62002201735717
"249" "6102" 6.53087762772588 0 "RAIGE" "pseudohomophone" NA "less" -1.60581129790667
"250" "6102" 6.42486902390539 0 "VOID" "word" NA NA -1.59160057845616
"251" "6102" NA 1 "MID" "word" "low" NA -1.57738985900566
"252" "6102" 6.27476202124194 0 "KISS" "word" NA NA -1.56317913955516
"253" "6102" 6.39024066706535 0 "SOAP" "word" "high" NA -1.54896842010466
"254" "6102" 6.62539236800796 0 "BAN" "word" "low" NA -1.53475770065416
"255" "6102" 6.53524127101366 0 "PERCE" "pseudohomophone" NA "less" -1.52054698120366
"256" "6102" 6.46614472423762 0 "JOAK" "pseudohomophone" NA "more" -1.50633626175316
"257" "6102" 6.58892647753352 0 "WITCH" "word" NA NA -1.49212554230265
"258" "6102" 6.56667242980324 0 "JAM" "word" "high" NA -1.47791482285215
